id,question
28,"请判断：在句子“

明天你能参加会议吗？

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
29,"请判断：在句子“

他的腿伤好了，现在能走路了。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
30,"请判断：在句子“

这个会议室能容纳50个人。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
31,"请判断：在句子“

小李感冒好了，能来上班了。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
32,"请判断：在句子“

任务还没完成，我不能休息。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
33,"请判断：在句子“

周末你能不能来公司加班？

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
34,"请判断：在句子“

考试期间不能使用手机。

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
35,"请判断：在句子“

我不会做饭，你能教我吗？

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
36,"请判断：在句子“

医生，我能不能吃这种食物？

”中，是否包含语法点[能愿动词：能]?
如果包含，请仅回答T
如果不包含，请仅回答F"
37,"请判断：在句子“

我想学钢琴。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
38,"请判断：在句子“

我不想早起。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
39,"请判断：在句子“

你想去公园吗?

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
40,"请判断：在句子“

我想去旅行。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
41,"请判断：在句子“

我想在餐厅吃午饭。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
42,"请判断：在句子“

她不想喝咖啡。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
43,"请判断：在句子“

他不想去日本。

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
44,"请判断：在句子“

你周末想去爬山吗?

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
45,"请判断：在句子“

你想不想吃面条?

”中，是否包含语法点[能愿动词：想]?
如果包含，请仅回答T
如果不包含，请仅回答F"
46,"请判断：在句子“

他要去图书馆。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
47,"请判断：在句子“

他要学跳舞。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
48,"请判断：在句子“

您要买电脑吗?

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
49,"请判断：在句子“

我们要努力工作。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
50,"请判断：在句子“

她要去北京。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
51,"请判断：在句子“

我要去逛街。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
52,"请判断：在句子“

他要学英语。

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
53,"请判断：在句子“

先生，您要喝咖啡吗?

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
54,"请判断：在句子“

你要不要吃点儿东西?

”中，是否包含语法点[能愿动词：要]?
如果包含，请仅回答T
如果不包含，请仅回答F"
55,"请判断：在句子“

他多高？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
56,"请判断：在句子“

新开的公园有多大？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
57,"请判断：在句子“

你的箱子有多重？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
58,"请判断：在句子“

这条河有多宽？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
59,"请判断：在句子“

你多高？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
60,"请判断：在句子“

那个学生多大了？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
61,"请判断：在句子“

你的弟弟多大了？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
62,"请判断：在句子“

这个桌子有多长？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
63,"请判断：在句子“

学校有多远？

”中，是否包含语法点[疑问代词：多]?
如果包含，请仅回答T
如果不包含，请仅回答F"
64,"请判断：在句子“

你们公司有多少个员工？

”中，是否包含语法点[疑问代词：多少]?
如果包含，请仅回答T
如果不包含，请仅回答F"
65,"请判断：在句子“

这件衣服多少钱？

”中，是否包含语法点[疑问代词：多少]?
如果包含，请仅回答T
如果不包含，请仅回答F"
66,"请判断：在句子“

你跑了多少公里？

”中，是否包含语法点[疑问代词：多少]?
如果包含，请仅回答T
如果不包含，请仅回答F"
67,"请判断：在句子“

图书馆有多少本书？

”中，是否包含语法点[疑问代词：多少]?
如果包含，请仅回答T
如果不包含，请仅回答F"
68,"请判断：在句子“

你买了多少件衣服？

”中，是否包含语法点[疑问代词：多少]?
如果包含，请仅回答T
如果不包含，请仅回答F"
69,"请判断：在句子“

这篇文章有多少字？

”中，是否包含语法点[疑问代词：多少]?
如果包含，请仅回答T
如果不包含，请仅回答F"
70,"请判断：在句子“

你看了多少部电影？

”中，是否包含语法点[疑问代词：多少]?
如果包含，请仅回答T
如果不包含，请仅回答F"
71,"请判断：在句子“

你要多少(个)？

”中，是否包含语法点[疑问代词：多少]?
如果包含，请仅回答T
如果不包含，请仅回答F"
72,"请判断：在句子“

这些蔬菜多少钱？

”中，是否包含语法点[疑问代词：多少]?
如果包含，请仅回答T
如果不包含，请仅回答F"
73,"请判断：在句子“

现在几度？

”中，是否包含语法点[疑问代词：几]?
如果包含，请仅回答T
如果不包含，请仅回答F"
74,"请判断：在句子“

你有几件衣服？

”中，是否包含语法点[疑问代词：几]?
如果包含，请仅回答T
如果不包含，请仅回答F"
75,"请判断：在句子“

你们几辆车去？

”中，是否包含语法点[疑问代词：几]?
如果包含，请仅回答T
如果不包含，请仅回答F"
76,"请判断：在句子“

你家有几只猫？

”中，是否包含语法点[疑问代词：几]?
如果包含，请仅回答T
如果不包含，请仅回答F"
77,"请判断：在句子“

你买了几本书？

”中，是否包含语法点[疑问代词：几]?
如果包含，请仅回答T
如果不包含，请仅回答F"
78,"请判断：在句子“

你看了几集电视剧？

”中，是否包含语法点[疑问代词：几]?
如果包含，请仅回答T
如果不包含，请仅回答F"
79,"请判断：在句子“

你学了几门课程？

”中，是否包含语法点[疑问代词：几]?
如果包含，请仅回答T
如果不包含，请仅回答F"
80,"请判断：在句子“

外边有几只鸟？

”中，是否包含语法点[疑问代词：几]?
如果包含，请仅回答T
如果不包含，请仅回答F"
81,"请判断：在句子“

你住几单元？

”中，是否包含语法点[疑问代词：几]?
如果包含，请仅回答T
如果不包含，请仅回答F"
82,"请判断：在句子“

你的婚礼是哪天?

”中，是否包含语法点[疑问代词：哪]?
如果包含，请仅回答T
如果不包含，请仅回答F"
83,"请判断：在句子“

请问,您是哪家公司的人?

”中，是否包含语法点[疑问代词：哪]?
如果包含，请仅回答T
如果不包含，请仅回答F"
84,"请判断：在句子“

你在哪个城市学英语?

”中，是否包含语法点[疑问代词：哪]?
如果包含，请仅回答T
如果不包含，请仅回答F"
85,"请判断：在句子“

哪一首歌好听?

”中，是否包含语法点[疑问代词：哪]?
如果包含，请仅回答T
如果不包含，请仅回答F"
86,"请判断：在句子“

这个假期哪个朋友去上海?

”中，是否包含语法点[疑问代词：哪]?
如果包含，请仅回答T
如果不包含，请仅回答F"
87,"请判断：在句子“

你常常在哪个餐厅吃饭?

”中，是否包含语法点[疑问代词：哪]?
如果包含，请仅回答T
如果不包含，请仅回答F"
88,"请判断：在句子“

你的鞋子是哪一双?

”中，是否包含语法点[疑问代词：哪]?
如果包含，请仅回答T
如果不包含，请仅回答F"
89,"请判断：在句子“

您要见哪个客户?

”中，是否包含语法点[疑问代词：哪]?
如果包含，请仅回答T
如果不包含，请仅回答F"
90,"请判断：在句子“

你喜欢哪个电视剧?

”中，是否包含语法点[疑问代词：哪]?
如果包含，请仅回答T
如果不包含，请仅回答F"
91,"请判断：在句子“

你们去哪儿吃饭?

”中，是否包含语法点[疑问代词：哪儿、哪里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
92,"请判断：在句子“

你女儿在哪里学钢琴?

”中，是否包含语法点[疑问代词：哪儿、哪里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
93,"请判断：在句子“

请问,邮局在哪里?

”中，是否包含语法点[疑问代词：哪儿、哪里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
94,"请判断：在句子“

她不在办公室,她去哪儿了?

”中，是否包含语法点[疑问代词：哪儿、哪里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
95,"请判断：在句子“

假期我们去哪儿旅行?

”中，是否包含语法点[疑问代词：哪儿、哪里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
96,"请判断：在句子“

新开的咖啡馆在哪儿?

”中，是否包含语法点[疑问代词：哪儿、哪里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
97,"请判断：在句子“

钥匙放哪儿了?

”中，是否包含语法点[疑问代词：哪儿、哪里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
98,"请判断：在句子“

请问,银行在哪儿?

”中，是否包含语法点[疑问代词：哪儿、哪里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
99,"请判断：在句子“

哪儿有超市?

”中，是否包含语法点[疑问代词：哪儿、哪里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
100,"请判断：在句子“

你们公司有哪些部门的员工?

”中，是否包含语法点[疑问代词：哪些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
101,"请判断：在句子“

你朋友有哪些兴趣爱好?

”中，是否包含语法点[疑问代词：哪些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
102,"请判断：在句子“

你带了哪些衣服去旅行?

”中，是否包含语法点[疑问代词：哪些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
103,"请判断：在句子“

你上周买了哪些电子产品?

”中，是否包含语法点[疑问代词：哪些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
104,"请判断：在句子“

他假期去了哪些城市?

”中，是否包含语法点[疑问代词：哪些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
105,"请判断：在句子“

你听过哪些音乐专辑?

”中，是否包含语法点[疑问代词：哪些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
106,"请判断：在句子“

小区里有哪些公共设施?

”中，是否包含语法点[疑问代词：哪些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
107,"请判断：在句子“

上海有哪些著名的景点?

”中，是否包含语法点[疑问代词：哪些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
108,"请判断：在句子“

哪些是你的作业?

”中，是否包含语法点[疑问代词：哪些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
109,"请判断：在句子“

你吃什么?

”中，是否包含语法点[疑问代词：什么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
110,"请判断：在句子“

什么最有趣?

”中，是否包含语法点[疑问代词：什么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
111,"请判断：在句子“

你在听什么音乐?

”中，是否包含语法点[疑问代词：什么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
112,"请判断：在句子“

你什么时候回家?

”中，是否包含语法点[疑问代词：什么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
113,"请判断：在句子“

他在邮件里写了什么?

”中，是否包含语法点[疑问代词：什么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
114,"请判断：在句子“

你想喝什么饮料?

”中，是否包含语法点[疑问代词：什么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
115,"请判断：在句子“

她做什么运动?

”中，是否包含语法点[疑问代词：什么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
116,"请判断：在句子“

我们什么时候见面?

”中，是否包含语法点[疑问代词：什么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
117,"请判断：在句子“

你住什么城市?

”中，是否包含语法点[疑问代词：什么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
118,"请判断：在句子“

谁在教室里画画？

”中，是否包含语法点[疑问代词：谁]?
如果包含，请仅回答T
如果不包含，请仅回答F"
119,"请判断：在句子“

请问，你等谁？

”中，是否包含语法点[疑问代词：谁]?
如果包含，请仅回答T
如果不包含，请仅回答F"
120,"请判断：在句子“

这是谁的手机？

”中，是否包含语法点[疑问代词：谁]?
如果包含，请仅回答T
如果不包含，请仅回答F"
121,"请判断：在句子“

谁想去公园？

”中，是否包含语法点[疑问代词：谁]?
如果包含，请仅回答T
如果不包含，请仅回答F"
122,"请判断：在句子“

谁是你的老师？

”中，是否包含语法点[疑问代词：谁]?
如果包含，请仅回答T
如果不包含，请仅回答F"
123,"请判断：在句子“

他们在讨论谁？

”中，是否包含语法点[疑问代词：谁]?
如果包含，请仅回答T
如果不包含，请仅回答F"
124,"请判断：在句子“

你遇到谁了？

”中，是否包含语法点[疑问代词：谁]?
如果包含，请仅回答T
如果不包含，请仅回答F"
125,"请判断：在句子“

你和谁一起看电影？

”中，是否包含语法点[疑问代词：谁]?
如果包含，请仅回答T
如果不包含，请仅回答F"
126,"请判断：在句子“

椅子上是谁的书包？

”中，是否包含语法点[疑问代词：谁]?
如果包含，请仅回答T
如果不包含，请仅回答F"
127,"请判断：在句子“

你怎么去图书馆?

”中，是否包含语法点[疑问代词：怎么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
128,"请判断：在句子“

他今天怎么不开心?

”中，是否包含语法点[疑问代词：怎么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
129,"请判断：在句子“

你怎么不参加聚会?

”中，是否包含语法点[疑问代词：怎么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
130,"请判断：在句子“

你今天怎么去公园?

”中，是否包含语法点[疑问代词：怎么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
131,"请判断：在句子“

这个问题怎么解决?

”中，是否包含语法点[疑问代词：怎么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
132,"请判断：在句子“

这个单词怎么读?

”中，是否包含语法点[疑问代词：怎么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
133,"请判断：在句子“

他怎么了?

”中，是否包含语法点[疑问代词：怎么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
134,"请判断：在句子“

你们怎么不回答?

”中，是否包含语法点[疑问代词：怎么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
135,"请判断：在句子“

你怎么不打招呼就走了?

”中，是否包含语法点[疑问代词：怎么]?
如果包含，请仅回答T
如果不包含，请仅回答F"
136,"请判断：在句子“

你好,我要一杯咖啡。

”中，是否包含语法点[人称代词：我、你、您、他、她]?
如果包含，请仅回答T
如果不包含，请仅回答F"
137,"请判断：在句子“

您好!

”中，是否包含语法点[人称代词：我、你、您、他、她]?
如果包含，请仅回答T
如果不包含，请仅回答F"
138,"请判断：在句子“

他想吃饭。

”中，是否包含语法点[人称代词：我、你、您、他、她]?
如果包含，请仅回答T
如果不包含，请仅回答F"
139,"请判断：在句子“

我要回家了。

”中，是否包含语法点[人称代词：我、你、您、他、她]?
如果包含，请仅回答T
如果不包含，请仅回答F"
140,"请判断：在句子“

你喜欢她吗?

”中，是否包含语法点[人称代词：我、你、您、他、她]?
如果包含，请仅回答T
如果不包含，请仅回答F"
141,"请判断：在句子“

您这边请。

”中，是否包含语法点[人称代词：我、你、您、他、她]?
如果包含，请仅回答T
如果不包含，请仅回答F"
142,"请判断：在句子“

他是我的老师,她是我的同学。

”中，是否包含语法点[人称代词：我、你、您、他、她]?
如果包含，请仅回答T
如果不包含，请仅回答F"
143,"请判断：在句子“

他很聪明。

”中，是否包含语法点[人称代词：我、你、您、他、她]?
如果包含，请仅回答T
如果不包含，请仅回答F"
144,"请判断：在句子“

他不认识你。

”中，是否包含语法点[人称代词：我、你、您、他、她]?
如果包含，请仅回答T
如果不包含，请仅回答F"
145,"请判断：在句子“

我们去公园，你们去哪儿？

”中，是否包含语法点[人称代词：我们、你们、他们、她们]?
如果包含，请仅回答T
如果不包含，请仅回答F"
146,"请判断：在句子“

你们是老师。

”中，是否包含语法点[人称代词：我们、你们、他们、她们]?
如果包含，请仅回答T
如果不包含，请仅回答F"
147,"请判断：在句子“

他们是我的朋友。

”中，是否包含语法点[人称代词：我们、你们、他们、她们]?
如果包含，请仅回答T
如果不包含，请仅回答F"
148,"请判断：在句子“

你们先吃吧。

”中，是否包含语法点[人称代词：我们、你们、他们、她们]?
如果包含，请仅回答T
如果不包含，请仅回答F"
149,"请判断：在句子“

我们在图书馆。

”中，是否包含语法点[人称代词：我们、你们、他们、她们]?
如果包含，请仅回答T
如果不包含，请仅回答F"
150,"请判断：在句子“

她们很开心。

”中，是否包含语法点[人称代词：我们、你们、他们、她们]?
如果包含，请仅回答T
如果不包含，请仅回答F"
151,"请判断：在句子“

你不认识她们。

”中，是否包含语法点[人称代词：我们、你们、他们、她们]?
如果包含，请仅回答T
如果不包含，请仅回答F"
152,"请判断：在句子“

他们买了新书。

”中，是否包含语法点[人称代词：我们、你们、他们、她们]?
如果包含，请仅回答T
如果不包含，请仅回答F"
153,"请判断：在句子“

你看见他们了吗？

”中，是否包含语法点[人称代词：我们、你们、他们、她们]?
如果包含，请仅回答T
如果不包含，请仅回答F"
154,"请判断：在句子“

这是谁的笔记本?

”中，是否包含语法点[指示代词：这、那]?
如果包含，请仅回答T
如果不包含，请仅回答F"
155,"请判断：在句子“

他喜欢那支钢笔。

”中，是否包含语法点[指示代词：这、那]?
如果包含，请仅回答T
如果不包含，请仅回答F"
156,"请判断：在句子“

这是我的水杯，那是你的水杯。

”中，是否包含语法点[指示代词：这、那]?
如果包含，请仅回答T
如果不包含，请仅回答F"
157,"请判断：在句子“

那是什么?

”中，是否包含语法点[指示代词：这、那]?
如果包含，请仅回答T
如果不包含，请仅回答F"
158,"请判断：在句子“

我很喜欢听这个音乐。

”中，是否包含语法点[指示代词：这、那]?
如果包含，请仅回答T
如果不包含，请仅回答F"
159,"请判断：在句子“

那两本书都很有趣。

”中，是否包含语法点[指示代词：这、那]?
如果包含，请仅回答T
如果不包含，请仅回答F"
160,"请判断：在句子“

这是我的钱包。

”中，是否包含语法点[指示代词：这、那]?
如果包含，请仅回答T
如果不包含，请仅回答F"
161,"请判断：在句子“

这是谁?

”中，是否包含语法点[指示代词：这、那]?
如果包含，请仅回答T
如果不包含，请仅回答F"
162,"请判断：在句子“

他在那个图书馆学习。

”中，是否包含语法点[指示代词：这、那]?
如果包含，请仅回答T
如果不包含，请仅回答F"
163,"请判断：在句子“

那儿很安静。

”中，是否包含语法点[指示代词：这儿、那儿、这里、那里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
164,"请判断：在句子“

我来这儿工作。

”中，是否包含语法点[指示代词：这儿、那儿、这里、那里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
165,"请判断：在句子“

你站这里，朋友站那里。

”中，是否包含语法点[指示代词：这儿、那儿、这里、那里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
166,"请判断：在句子“

他没去过那儿。

”中，是否包含语法点[指示代词：这儿、那儿、这里、那里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
167,"请判断：在句子“

那里的风景很美。

”中，是否包含语法点[指示代词：这儿、那儿、这里、那里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
168,"请判断：在句子“

这儿有一本书。

”中，是否包含语法点[指示代词：这儿、那儿、这里、那里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
169,"请判断：在句子“

那里是我的学校。

”中，是否包含语法点[指示代词：这儿、那儿、这里、那里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
170,"请判断：在句子“

我喜欢那里的氛围。

”中，是否包含语法点[指示代词：这儿、那儿、这里、那里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
171,"请判断：在句子“

这儿有家咖啡馆。

”中，是否包含语法点[指示代词：这儿、那儿、这里、那里]?
如果包含，请仅回答T
如果不包含，请仅回答F"
172,"请判断：在句子“

这些衣服很漂亮。

”中，是否包含语法点[指示代词：这些、那些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
173,"请判断：在句子“

那些画作都很值钱。

”中，是否包含语法点[指示代词：这些、那些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
174,"请判断：在句子“

那些都是谁的书包?

”中，是否包含语法点[指示代词：这些、那些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
175,"请判断：在句子“

那些我都吃完了。

”中，是否包含语法点[指示代词：这些、那些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
176,"请判断：在句子“

这些蛋糕是我刚烤的。

”中，是否包含语法点[指示代词：这些、那些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
177,"请判断：在句子“

那些是谁的钥匙?

”中，是否包含语法点[指示代词：这些、那些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
178,"请判断：在句子“

我不认识这些学生。

”中，是否包含语法点[指示代词：这些、那些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
179,"请判断：在句子“

这些医生在值班。

”中，是否包含语法点[指示代词：这些、那些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
180,"请判断：在句子“

这些是他种的蔬菜。

”中，是否包含语法点[指示代词：这些、那些]?
如果包含，请仅回答T
如果不包含，请仅回答F"
181,"请判断：在句子“

你还要别的书吗?

”中，是否包含语法点[指示代词：别的]?
如果包含，请仅回答T
如果不包含，请仅回答F"
182,"请判断：在句子“

没有别的了。

”中，是否包含语法点[指示代词：别的]?
如果包含，请仅回答T
如果不包含，请仅回答F"
183,"请判断：在句子“

我们去别的餐厅吧。

”中，是否包含语法点[指示代词：别的]?
如果包含，请仅回答T
如果不包含，请仅回答F"
184,"请判断：在句子“

我不认识别的老师。

”中，是否包含语法点[指示代词：别的]?
如果包含，请仅回答T
如果不包含，请仅回答F"
185,"请判断：在句子“

现在别的电影院也关门了。

”中，是否包含语法点[指示代词：别的]?
如果包含，请仅回答T
如果不包含，请仅回答F"
186,"请判断：在句子“

别的朋友去哪儿了?

”中，是否包含语法点[指示代词：别的]?
如果包含，请仅回答T
如果不包含，请仅回答F"
187,"请判断：在句子“

我太累了,没力气做别的事。

”中，是否包含语法点[指示代词：别的]?
如果包含，请仅回答T
如果不包含，请仅回答F"
